instances/tai01.txt;instances/tai02.txt;instances/tai03.txt;instances/tai04.txt;instances/tai05.txt;instances/tai06.txt;instances/tai07.txt;instances/tai08.txt;instances/tai09.txt;instances/tai10.txt;instances/tai11.txt;instances/tai12.txt;instances/tai13.txt;instances/tai14.txt;instances/tai15.txt;instances/tai16.txt;instances/tai17.txt;instances/tai18.txt;instances/tai19.txt;instances/tai20.txt;instances/tai21.txt;instances/tai22.txt;instances/tai23.txt;instances/tai24.txt;instances/tai25.txt;instances/tai26.txt;instances/tai27.txt;instances/tai28.txt;instances/tai29.txt;instances/tai30.txt;instances/tai31.txt;instances/tai32.txt;instances/tai33.txt;instances/tai34.txt;instances/tai35.txt;instances/tai36.txt;instances/tai37.txt;instances/tai38.txt;instances/tai39.txt;instances/tai40.txt;instances/tai41.txt;instances/tai42.txt;instances/tai43.txt;instances/tai44.txt;instances/tai45.txt;instances/tai46.txt;instances/tai47.txt;instances/tai48.txt;instances/tai49.txt;instances/tai50.txt;instances/tai51.txt;instances/tai52.txt;instances/tai53.txt;instances/tai54.txt;instances/tai55.txt;instances/tai56.txt;instances/tai57.txt;instances/tai58.txt;instances/tai59.txt;instances/tai60.txt
1278;1359;1081;1299;1235;1201;1239;1206;1230;1108;1611;1683;1509;1385;1419;1413;1487;1554;1612;1608;2336;2115;2348;2235;2313;2238;2299;2206;2245;2198;2731;2843;2633;2772;2866;2835;2746;2705;2576;2789;3135;3020;2986;3146;3122;3117;3221;3123;2996;3222;4082;3907;3852;3954;3821;3914;3952;3931;3952;3923
1278;1360;1086;1301;1235;1201;1239;1206;1230;1108;1603;1671;1513;1388;1419;1411;1487;1553;1604;1613;2319;2124;2365;2240;2312;2238;2290;2221;2254;2190;2724;2843;2635;2759;2864;2832;2741;2706;2576;2789;3135;2981;2982;3135;3125;3121;3199;3123;3002;3225;4082;3921;3827;3933;3835;3914;3929;3933;3952;4001
1278;1359;1081;1297;1235;1195;1239;1206;1230;1108;1613;1678;1515;1381;1426;1407;1490;1558;1609;1613;2324;2120;2354;2235;2323;2232;2302;2224;2254;2189;2724;2843;2634;2763;2868;2837;2752;2705;2576;2786;3135;3012;2965;3137;3121;3130;3224;3117;3002;3229;4072;3921;3853;3950;3835;3914;3952;3882;3952;3937
1278;1359;1081;1300;1235;1195;1239;1206;1230;1108;1591;1671;1509;1379;1425;1422;1493;1557;1609;1608;2342;2124;2366;2233;2320;2240;2295;2225;2263;2205;2729;2843;2640;2768;2868;2835;2746;2710;2576;2789;3135;3012;2978;3135;3134;3131;3222;3123;3002;3217;4077;3903;3838;3937;3835;3914;3932;3929;3952;4007
1278;1360;1081;1300;1235;1201;1239;1206;1230;1108;1617;1669;1515;1385;1423;1418;1486;1556;1602;1611;2331;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1359;1087;1301;1236;1195;1239;1206;1230;1108;1599;1679;1515;1379;1423;1409;1484;1563;1604;1609;2322;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1359;1087;1294;1235;1200;1239;1206;1230;1108;1600;1659;1518;1382;1419;1418;1489;1555;1609;1613;2317;;;;;;;;;;2730;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1359;1081;1302;1235;1195;1239;1206;1230;1108;1595;1660;1509;1387;1419;1418;1487;1554;1608;1613;2322;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4067;;;;;;;;;
1278;1360;1081;1301;1237;1195;1239;1206;1230;1108;1619;1682;1509;1377;1426;1406;1487;1563;1606;1613;2313;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4081;;;;;;;;;
1278;1359;1086;1301;1236;1195;1239;1206;1230;1108;1588;1685;1520;1385;1423;1417;1489;1554;1612;1613;2333;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4079;;;;;;;;;
1278;1360;1081;1299;1235;1201;1239;1206;1230;1108;1604;1671;1510;1384;1425;1416;1491;1555;1604;1606;2325;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4050;;;;;;;;;
1278;1359;1081;1300;1240;1195;1239;1206;1230;1108;1598;1679;1514;1392;1422;1408;1491;1558;1602;1612;2327;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1359;1081;1297;1243;1195;1239;1206;1230;1108;1600;1675;1525;1386;1419;1416;1491;1555;1602;1610;2327;;;;;;;;;;2731;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1360;1085;1299;1239;1201;1239;1206;1230;1108;1607;1669;1510;1385;1426;1411;1484;1543;1608;1613;2328;;;;;;;;;;2725;;;;;;;;;;3135;;;;;;;;;;4074;;;;;;;;;
1278;1359;1085;1302;1239;;;;;;1612;;;;;;;;;;2329;;;;;;;;;;2730;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1359;1088;1306;1236;;;;;;1598;;;;;;;;;;2331;;;;;;;;;;2729;;;;;;;;;;3119;;;;;;;;;;4079;;;;;;;;;
1278;1360;1081;1300;1235;;;;;;1604;;;;;;;;;;2326;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4075;;;;;;;;;
1278;1360;1081;1299;1235;;;;;;1612;;;;;;;;;;2326;;;;;;;;;;2731;;;;;;;;;;3135;;;;;;;;;;4055;;;;;;;;;
1278;;;;;;;;;;1610;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4064;;;;;;;;;
1278;;;;;;;;;;1607;;;;;;;;;;2320;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4077;;;;;;;;;
1278;;;;;;;;;;1612;;;;;;;;;;2332;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4053;;;;;;;;;
1278;;;;;;;;;;1608;;;;;;;;;;2344;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4057;;;;;;;;;
1278;;;;;;;;;;1605;;;;;;;;;;2331;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4078;;;;;;;;;
1278;;;;;;;;;;1610;;;;;;;;;;2332;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4050;;;;;;;;;
1278;;;;;;;;;;1618;;;;;;;;;;2341;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1609;;;;;;;;;;2340;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4069;;;;;;;;;
1278;;;;;;;;;;1608;;;;;;;;;;2325;;;;;;;;;;2732;;;;;;;;;;3135;;;;;;;;;;4065;;;;;;;;;
1278;;;;;;;;;;1610;;;;;;;;;;2333;;;;;;;;;;2731;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1603;;;;;;;;;;2339;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4064;;;;;;;;;
1278;;;;;;;;;;1604;;;;;;;;;;2336;;;;;;;;;;2724;;;;;;;;;;3122;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1604;;;;;;;;;;2328;;;;;;;;;;2733;;;;;;;;;;3123;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1610;;;;;;;;;;2339;;;;;;;;;;2730;;;;;;;;;;3135;;;;;;;;;;4076;;;;;;;;;
1278;;;;;;;;;;1608;;;;;;;;;;2327;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4071;;;;;;;;;
1278;;;;;;;;;;1618;;;;;;;;;;2318;;;;;;;;;;2732;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1615;;;;;;;;;;2328;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1618;;;;;;;;;;2305;;;;;;;;;;2730;;;;;;;;;;3135;;;;;;;;;;4059;;;;;;;;;
1278;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1607;;;;;;;;;;2333;;;;;;;;;;2730;;;;;;;;;;3135;;;;;;;;;;4075;;;;;;;;;
1278;;;;;;;;;;1619;;;;;;;;;;2332;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1611;;;;;;;;;;2333;;;;;;;;;;2731;;;;;;;;;;3135;;;;;;;;;;4081;;;;;;;;;
1278;;;;;;;;;;1589;;;;;;;;;;2326;;;;;;;;;;2733;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
