tai01;tai02;tai03;tai04;tai05;tai06;tai07;tai08;tai09;tai10;tai11;tai12;tai13;tai14;tai15;tai16;tai17;tai18;tai19;tai20;tai21;tai22;tai23;tai24;tai25;tai26;tai27;tai28;tai29;tai30;tai31;tai32;tai33;tai34;tai35;tai36;tai37;tai38;tai39;tai40;tai41;tai42;tai43;tai44;tai45;tai46;tai47;tai48;tai49;tai50;tai51;tai52;tai53;tai54;tai55;tai56;tai57;tai58;tai59;tai60
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1582;1670;1500;1379;1420;1398;1486;1544;1595;1600;2305;2106;2342;2224;2307;2232;2282;2212;2242;2188;2724;2843;2624;2770;2864;2835;2730;2704;2568;2782;3063;3002;2986;3140;3157;3142;3236;3123;3002;3212;4041;3921;3927;3969;3835;3914;3952;3938;3952;4079
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1671;1500;1378;1424;1402;1486;1544;1601;1597;2299;2105;2345;2234;2304;2231;2280;2214;2240;2183;2724;2843;2625;2776;2863;2832;2732;2704;2561;2782;3103;3022;2986;3157;3160;3150;3191;3123;3002;3223;4072;3921;3927;3969;3835;3914;3952;3938;3952;4079
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1582;1659;1507;1378;1422;1398;1487;1545;1595;1603;2300;2108;2326;2229;2294;2234;2292;2214;2245;2190;2724;2843;2624;2764;2864;2832;2736;2703;2565;2782;3064;3008;2986;3164;3157;3140;3212;3123;3002;3204;4041;3921;3927;3969;3835;3914;3952;3938;3952;4037
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1582;1669;1508;1379;1422;1400;1486;1547;1593;1597;2303;2099;2328;2234;2302;2229;2273;2213;2242;2188;2724;2843;2637;2753;2863;2832;2732;2704;2555;2782;3111;3032;2986;3143;3150;3144;3209;3123;3002;3208;4068;3921;3927;3969;3835;3914;3952;3938;3952;4051
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1670;1501;1379;1427;1397;1484;1544;1594;1594;2297;;;;;;;;;;2724;;;;;;;;;;3105;;;;;;;;;;4073;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1672;1500;1383;1419;1398;1486;1546;1600;1602;2299;;;;;;;;;;2724;;;;;;;;;;3091;;;;;;;;;;4052;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1674;1501;1379;1419;1397;1486;1550;1595;1594;2300;;;;;;;;;;2724;;;;;;;;;;3080;;;;;;;;;;4069;;;;;;;;;
1278;1359;1081;1293;1239;1195;1239;1206;1230;1108;1583;1672;1499;1379;1425;1397;1486;1547;1600;1602;2306;;;;;;;;;;2729;;;;;;;;;;3094;;;;;;;;;;4037;;;;;;;;;
1278;1359;1081;1293;1239;1195;1239;1206;1230;1108;1586;1672;1508;1378;1425;1401;1486;1545;1599;1591;2314;;;;;;;;;;2729;;;;;;;;;;3126;;;;;;;;;;4082;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1586;1668;1503;1378;1420;1397;1486;1544;1594;1594;2316;;;;;;;;;;2729;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1585;1672;1507;1380;1422;1401;1484;1548;1596;1591;2314;;;;;;;;;;2724;;;;;;;;;;3135;;;;;;;;;;4082;;;;;;;;;
