tai01;tai02;tai03;tai04;tai05;tai06;tai07;tai08;tai09;tai10;tai11;tai12;tai13;tai14;tai15;tai16;tai17;tai18;tai19;tai20;tai21;tai22;tai23;tai24;tai25;tai26;tai27;tai28;tai29;tai30;tai31;tai32;tai33;tai34;tai35;tai36;tai37;tai38;tai39;tai40;tai41;tai42;tai43;tai44;tai45;tai46;tai47;tai48;tai49;tai50;tai51;tai52;tai53;tai54;tai55;tai56;tai57;tai58;tai59;tai60
1278;1360;1081;1297;1235;1195;1239;1206;1237;1108;1586;1659;1518;1380;1422;1409;1489;1567;1603;1608;2304;2101;2339;2246;2294;2234;2301;2209;2242;2202;2724;2843;2621;2762;2863;2831;2728;2683;2557;2786;3093;2993;2947;3113;3088;3095;3168;3078;2972;3163;4058;3861;3858;3934;3799;3826;3918;3857;3916;3969
1278;1360;1081;1297;1235;1195;1239;1206;1237;1108;1583;1664;1509;1382;1424;1409;1490;1567;1603;1610;2309;2105;2346;2246;2294;2234;2293;2211;2242;2179;2724;2843;2621;2762;2863;2835;2727;2683;2561;2786;3092;2985;2930;3103;3099;3100;3189;3109;2953;3167;4061;3884;3870;3930;3786;3838;3909;3881;3910;3972
1278;1359;1081;1297;1235;1195;1239;1206;1236;1108;1586;1659;1509;1383;1422;1397;1490;1567;1608;1599;2312;2108;2351;2239;2294;2237;2294;2211;2242;2178;2724;2843;2621;2762;2864;2834;2732;2683;2555;2786;3078;2971;2943;3116;3098;3094;3167;3108;2962;3165;4031;3882;3860;3916;3813;3822;3889;3900;3942;3938
1278;1359;1081;1297;1235;1195;1239;1206;1237;1108;1586;1659;1516;1383;1419;1408;1487;1567;1603;1608;2312;2101;2351;2253;2294;2234;2290;2218;2242;2190;2724;2843;2621;2762;2864;2834;2728;2683;2557;2786;3102;2996;2932;3110;3109;3091;3161;3110;2963;3170;4073;3870;3853;3969;3813;3858;3922;3873;3895;3967
1278;1360;1081;1297;1235;1195;1239;1209;1237;1108;1586;1659;1516;1380;1422;1416;1490;1567;1603;1599;2309;;;;;;;;;;2724;;;;;;;;;;3070;;;;;;;;;;4059;;;;;;;;;
1278;1360;1081;1298;1235;1195;1239;1206;1237;1108;1586;1659;1509;1380;1419;1409;1490;1567;1603;1608;2307;;;;;;;;;;2724;;;;;;;;;;3078;;;;;;;;;;4044;;;;;;;;;
1278;1359;1081;1298;1235;1195;1239;1206;1237;1108;1586;1659;1519;1380;1419;1410;1490;1567;1603;1608;2300;;;;;;;;;;2724;;;;;;;;;;3086;;;;;;;;;;4029;;;;;;;;;
1278;1360;1081;1297;1235;1195;1239;1206;1237;1108;1583;1659;1509;1380;1424;1408;1486;1567;1603;1599;2306;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4046;;;;;;;;;
1278;1360;1081;1297;1235;1195;1239;1206;1237;1108;1588;1659;1514;1380;1422;1398;1486;1567;1603;1608;2309;;;;;;;;;;2724;;;;;;;;;;3101;;;;;;;;;;4062;;;;;;;;;
1278;1360;1081;1297;1235;1195;1239;1206;1242;1108;1586;1659;1518;1379;1422;1409;1486;1567;1603;1608;2315;;;;;;;;;;2724;;;;;;;;;;3101;;;;;;;;;;4072;;;;;;;;;
1278;1360;1081;1298;1235;1195;1239;1206;1237;1108;1586;1659;1519;1384;1420;1408;1487;1576;1602;1608;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4030;;;;;;;;;
1278;1360;1081;1299;1235;1195;1239;1208;1237;1108;1592;1659;1509;1379;1422;1411;1486;1567;1603;1609;2317;;;;;;;;;;2724;;;;;;;;;;3124;;;;;;;;;;4024;;;;;;;;;
1278;1360;1081;1297;1235;1195;1239;1206;1237;1108;1586;1659;1515;1382;1419;1409;1487;1567;1603;1606;2312;;;;;;;;;;2724;;;;;;;;;;3086;;;;;;;;;;4075;;;;;;;;;
1278;1360;1081;1298;1235;1195;1239;1206;1237;1108;1593;1659;1515;1380;1423;1408;1487;1567;1603;1609;2307;;;;;;;;;;2724;;;;;;;;;;3115;;;;;;;;;;4074;;;;;;;;;
1278;1360;1081;1297;1235;;;;;;1588;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3123;;;;;;;;;;4065;;;;;;;;;
1278;1360;1081;1298;1235;;;;;;1589;;;;;;;;;;2312;;;;;;;;;;2725;;;;;;;;;;3119;;;;;;;;;;4051;;;;;;;;;
1278;1360;1081;1297;1235;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3087;;;;;;;;;;4060;;;;;;;;;
1278;1360;1081;1297;1235;;;;;;1586;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3087;;;;;;;;;;4073;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3102;;;;;;;;;;4070;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3109;;;;;;;;;;4059;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3114;;;;;;;;;;4058;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3065;;;;;;;;;;4042;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2318;;;;;;;;;;2724;;;;;;;;;;3115;;;;;;;;;;4081;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4051;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3113;;;;;;;;;;4061;;;;;;;;;
1278;;;;;;;;;;1593;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4053;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1593;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3106;;;;;;;;;;4082;;;;;;;;;
1280;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3099;;;;;;;;;;4068;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3103;;;;;;;;;;4075;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2310;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4053;;;;;;;;;
1285;;;;;;;;;;1588;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3093;;;;;;;;;;4057;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2318;;;;;;;;;;2724;;;;;;;;;;3101;;;;;;;;;;4068;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2318;;;;;;;;;;2724;;;;;;;;;;3106;;;;;;;;;;4047;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4053;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2307;;;;;;;;;;2724;;;;;;;;;;3117;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3110;;;;;;;;;;4059;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3106;;;;;;;;;;4042;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3104;;;;;;;;;;4075;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2310;;;;;;;;;;2729;;;;;;;;;;3112;;;;;;;;;;4065;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2317;;;;;;;;;;2724;;;;;;;;;;3102;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3115;;;;;;;;;;4054;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3113;;;;;;;;;;4069;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4077;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2300;;;;;;;;;;2724;;;;;;;;;;3090;;;;;;;;;;4067;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2319;;;;;;;;;;2724;;;;;;;;;;3083;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3103;;;;;;;;;;4033;;;;;;;;;
1278;;;;;;;;;;1593;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4078;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3089;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2312;;;;;;;;;;2725;;;;;;;;;;3108;;;;;;;;;;4060;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2310;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4065;;;;;;;;;
1282;;;;;;;;;;1592;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3092;;;;;;;;;;4081;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2304;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3096;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3092;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2313;;;;;;;;;;2724;;;;;;;;;;3113;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3119;;;;;;;;;;4068;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3124;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2304;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4056;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2304;;;;;;;;;;2724;;;;;;;;;;3093;;;;;;;;;;4077;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4063;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3115;;;;;;;;;;4077;;;;;;;;;
1278;;;;;;;;;;1593;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3105;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3117;;;;;;;;;;4034;;;;;;;;;
1278;;;;;;;;;;1592;;;;;;;;;;2311;;;;;;;;;;2724;;;;;;;;;;3105;;;;;;;;;;4070;;;;;;;;;
1278;;;;;;;;;;1596;;;;;;;;;;2316;;;;;;;;;;2724;;;;;;;;;;3104;;;;;;;;;;4069;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3103;;;;;;;;;;4063;;;;;;;;;
1278;;;;;;;;;;1596;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3104;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2321;;;;;;;;;;2729;;;;;;;;;;3108;;;;;;;;;;4069;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3091;;;;;;;;;;4061;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2316;;;;;;;;;;2724;;;;;;;;;;3120;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3103;;;;;;;;;;4082;;;;;;;;;
1279;;;;;;;;;;1583;;;;;;;;;;2314;;;;;;;;;;2729;;;;;;;;;;3121;;;;;;;;;;4043;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3093;;;;;;;;;;4055;;;;;;;;;
1278;;;;;;;;;;1589;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3111;;;;;;;;;;4070;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3087;;;;;;;;;;4039;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3091;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2319;;;;;;;;;;2724;;;;;;;;;;3109;;;;;;;;;;4053;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3112;;;;;;;;;;4047;;;;;;;;;
1278;;;;;;;;;;1589;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3119;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3105;;;;;;;;;;4066;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2310;;;;;;;;;;2724;;;;;;;;;;3103;;;;;;;;;;4067;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3129;;;;;;;;;;4044;;;;;;;;;
1278;;;;;;;;;;1596;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3109;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3104;;;;;;;;;;4063;;;;;;;;;
1278;;;;;;;;;;1594;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3084;;;;;;;;;;4041;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3069;;;;;;;;;;4063;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3097;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3115;;;;;;;;;;4075;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3114;;;;;;;;;;4052;;;;;;;;;
