instances/tai01.txt;instances/tai02.txt;instances/tai03.txt;instances/tai04.txt;instances/tai05.txt;instances/tai06.txt;instances/tai07.txt;instances/tai08.txt;instances/tai09.txt;instances/tai10.txt;instances/tai11.txt;instances/tai12.txt;instances/tai13.txt;instances/tai14.txt;instances/tai15.txt;instances/tai16.txt;instances/tai17.txt;instances/tai18.txt;instances/tai19.txt;instances/tai20.txt;instances/tai21.txt;instances/tai31.txt;instances/tai41.txt;instances/tai51.txt
1278;1359;1088;1299;1235;1210;1251;1206;1255;1123;1586;1669;1500;1392;1431;1397;1488;1557;1636;1617;2310;2729;3034;4007
1278;1359;1081;1299;1244;1195;1251;1206;1230;1108;1582;1687;1500;1400;1433;1401;1494;1565;1593;1603;2318;2729;3046;4009
1278;1359;1088;1297;1244;1195;1251;1206;1255;1127;1583;1672;1512;1399;1430;1416;1497;1557;1593;1603;2316;2729;3073;4040
1286;1359;1081;1299;1235;1210;1251;1206;1230;1127;1583;1676;1500;1399;1419;1400;1526;1553;1594;1603;2310;2729;3096;3996
1286;1359;1081;1299;1244;1195;1251;1206;1253;1127;1586;1676;1508;1399;1431;1424;1526;1561;1608;1608;2321;2729;3128;4005
1278;1359;1088;1309;1244;1195;1251;1206;1253;1120;1592;1691;1509;1392;1419;1424;1492;1544;1608;1617;2318;2729;3096;4017
1286;1359;1081;1299;1250;1202;1251;1206;1253;1120;1598;1686;1504;1400;1434;1397;1488;1554;1593;1617;2310;2729;3128;4013
1278;1359;1088;1299;1244;1210;1251;1206;1230;1127;1586;1681;1500;1400;1434;1424;1526;1557;1593;1614;2318;2729;3072;4018
1278;1359;1081;1297;1244;1210;1251;1206;1230;1127;1586;1672;1510;1392;1438;1428;1526;1552;1608;1608;2316;2729;3128;3978
1278;1359;1088;1299;1250;1210;1251;1206;1230;1108;1586;1669;1510;1392;1434;1397;1526;1557;1594;1614;2329;2729;3128;3992
1278;1359;1081;1299;1235;1210;1251;1206;1253;1108;1586;1687;1512;1399;1433;1397;1526;1544;1593;1603;2308;2729;3096;4016
1286;1365;1081;1302;1244;1195;1251;1206;1230;1127;1586;1691;1504;1384;1430;1424;1488;1544;1595;1603;2314;2729;3128;3978
1278;1365;1088;1299;1244;1210;1251;1206;1253;1127;1618;1686;1504;1399;1419;1397;1526;1557;1597;1603;2318;2729;3049;3974
