instances/tai01.txt;instances/tai02.txt;instances/tai03.txt;instances/tai04.txt;instances/tai05.txt;instances/tai06.txt;instances/tai07.txt;instances/tai08.txt;instances/tai09.txt;instances/tai10.txt;instances/tai11.txt;instances/tai12.txt;instances/tai13.txt;instances/tai14.txt;instances/tai15.txt;instances/tai16.txt;instances/tai17.txt;instances/tai18.txt;instances/tai19.txt;instances/tai20.txt;instances/tai21.txt;instances/tai31.txt;instances/tai41.txt;instances/tai51.txt
1286;1359;1098;1309;1250;1210;1239;1206;1255;1109;1613;1693;1523;1402;1437;1415;1505;1566;1618;1626;2330;2724;3135;4027
1281;1359;1089;1309;1250;1210;1239;1206;1240;1116;1607;1699;1535;1393;1444;1423;1519;1567;1628;1620;2340;2733;3135;4002
1278;1360;1087;1308;1248;1205;1247;1209;1252;1109;1590;1677;1536;1395;1435;1424;1504;1567;1621;1622;2360;2729;3135;4037
1278;1359;1098;1309;1250;1205;1239;1212;1253;1120;1603;1700;1526;1401;1426;1422;1506;1580;1616;1621;2327;2733;3135;3984
1278;1359;1093;1306;1250;1210;1243;1206;1240;1109;1611;1699;1512;1379;1437;1425;1524;1561;1620;1616;2330;2729;3130;4073
1278;1359;1089;1309;1248;1195;1247;1207;1252;1122;1606;1697;1526;1393;1434;1420;1491;1578;1620;1610;2340;2729;3135;4062
1278;1359;1097;1304;1248;1217;1249;1212;1249;1127;1620;1705;1509;1400;1449;1420;1506;1566;1622;1629;2352;2731;3084;4082
1278;1360;1089;1309;1250;1210;1240;1211;1252;1118;1613;1687;1532;1392;1436;1428;1509;1559;1631;1625;2338;2731;3128;4041
1278;1359;1097;1311;1250;1210;1239;1212;1253;1123;1599;1672;1531;1394;1436;1423;1514;1565;1611;1620;2356;2732;3135;4082
1278;1359;1093;1309;1250;1204;1239;1206;1230;1122;1596;1689;1531;1395;1449;1429;1494;1560;1607;1628;2347;2733;3131;4082
1278;1360;1098;1309;1250;1195;1239;1206;1240;1127;1596;1689;1521;1385;1432;1426;1501;1565;1603;1623;2337;2731;3135;4073
1279;1360;1098;1309;1250;1210;1246;1206;1240;1111;1596;1697;1517;1408;1449;1424;1499;1567;1618;1614;2325;2729;3135;4051
1278;1360;1098;1300;1246;1210;1246;1212;1252;1121;1608;1682;1518;1392;1434;1419;1502;1571;1611;1631;2346;2731;3130;4082
1278;1360;1097;1309;1250;1210;1239;1212;1249;1108;1619;1698;1521;1400;1438;1418;1501;1565;1609;1608;2345;2733;3135;4082
1283;;;;;;;;;;1600;;;;;;;;;;2338;2732;3135;4061
1279;;;;;;;;;;1588;;;;;;;;;;2344;2729;3135;4041
1286;;;;;;;;;;1607;;;;;;;;;;2337;2729;3135;3985
1278;;;;;;;;;;1601;;;;;;;;;;2348;2729;3103;4074
1278;;;;;;;;;;1603;;;;;;;;;;2325;2733;3135;4082
1278;;;;;;;;;;1602;;;;;;;;;;2349;2731;3135;4059
1278;;;;;;;;;;1596;;;;;;;;;;2330;2733;3135;4082
1278;;;;;;;;;;1600;;;;;;;;;;2359;2733;3135;4048
1279;;;;;;;;;;1594;;;;;;;;;;2346;2729;3127;4082
1286;;;;;;;;;;1588;;;;;;;;;;2332;2727;3135;4066
1286;;;;;;;;;;1616;;;;;;;;;;2347;2733;3135;4062
1278;;;;;;;;;;1592;;;;;;;;;;2333;2731;3135;4082
1278;;;;;;;;;;1608;;;;;;;;;;2342;2729;3135;4073
1278;;;;;;;;;;1597;;;;;;;;;;2330;2733;3135;4054
1279;;;;;;;;;;1588;;;;;;;;;;2337;2733;3128;4044
1278;;;;;;;;;;1596;;;;;;;;;;2345;2733;3135;4082
1278;;;;;;;;;;1592;;;;;;;;;;2345;2730;3135;4082
1279;;;;;;;;;;1611;;;;;;;;;;2324;2729;3135;4023
1278;;;;;;;;;;1592;;;;;;;;;;2324;2729;3123;4082
1278;;;;;;;;;;1600;;;;;;;;;;2321;2733;3126;4046
1278;;;;;;;;;;1613;;;;;;;;;;2362;2733;3135;4082
1278;;;;;;;;;;1593;;;;;;;;;;2337;2733;3127;4034
1278;;;;;;;;;;1600;;;;;;;;;;2332;2729;3135;4066
1278;;;;;;;;;;1606;;;;;;;;;;2335;2729;3135;4049
1279;;;;;;;;;;1595;;;;;;;;;;2320;2724;3133;4058
1286;;;;;;;;;;1592;;;;;;;;;;2344;2733;3129;4058
1280;;;;;;;;;;1616;;;;;;;;;;2340;2733;3135;4048
1278;;;;;;;;;;1603;;;;;;;;;;2333;2729;3135;4082
1286;;;;;;;;;;1619;;;;;;;;;;2345;2729;3135;4082
1278;;;;;;;;;;1604;;;;;;;;;;2357;2733;3135;4082
1278;;;;;;;;;;1593;;;;;;;;;;2331;2733;3135;4082
1286;;;;;;;;;;1600;;;;;;;;;;2341;2733;3135;4082
1286;;;;;;;;;;1610;;;;;;;;;;2335;2733;3127;4030
1278;;;;;;;;;;1603;;;;;;;;;;2346;2729;3107;4082
1278;;;;;;;;;;1600;;;;;;;;;;2342;2733;3135;4076
1278;;;;;;;;;;1604;;;;;;;;;;2337;2729;3135;4082
1286;;;;;;;;;;1592;;;;;;;;;;2348;2733;3135;4075
1278;;;;;;;;;;1599;;;;;;;;;;2361;2729;3135;4065
1286;;;;;;;;;;1607;;;;;;;;;;2329;2729;3135;4061
1286;;;;;;;;;;1597;;;;;;;;;;2346;2732;3135;4082
1286;;;;;;;;;;1609;;;;;;;;;;2352;2733;3135;4062
1286;;;;;;;;;;1596;;;;;;;;;;2367;2733;3135;4074
1278;;;;;;;;;;1606;;;;;;;;;;2330;2724;3135;4082
1278;;;;;;;;;;1600;;;;;;;;;;2350;2733;3135;4064
1278;;;;;;;;;;1609;;;;;;;;;;2355;2731;3135;4082
1286;;;;;;;;;;1599;;;;;;;;;;2336;2733;3135;4082
1278;;;;;;;;;;1616;;;;;;;;;;2329;2729;3135;4078
1278;;;;;;;;;;1598;;;;;;;;;;2333;2729;3135;4076
1279;;;;;;;;;;1593;;;;;;;;;;2324;2733;3135;4059
1286;;;;;;;;;;1604;;;;;;;;;;2331;2729;3135;4069
1286;;;;;;;;;;1597;;;;;;;;;;2341;2730;3135;4073
1278;;;;;;;;;;1592;;;;;;;;;;2352;2724;3135;4044
1278;;;;;;;;;;1610;;;;;;;;;;2351;2725;3135;4059
1278;;;;;;;;;;1597;;;;;;;;;;2353;2731;3134;4060
1278;;;;;;;;;;1608;;;;;;;;;;2331;2733;3135;4026
1278;;;;;;;;;;1610;;;;;;;;;;2353;2733;3135;4082
1278;;;;;;;;;;1613;;;;;;;;;;2345;2733;3135;4064
1286;;;;;;;;;;1607;;;;;;;;;;2348;2729;3135;4082
1286;;;;;;;;;;1592;;;;;;;;;;2338;2733;3128;4043
1278;;;;;;;;;;1596;;;;;;;;;;2351;2733;3135;4082
1279;;;;;;;;;;1605;;;;;;;;;;2338;2733;3135;4061
1278;;;;;;;;;;1600;;;;;;;;;;2349;2733;3135;4077
1278;;;;;;;;;;1608;;;;;;;;;;2342;2733;3135;4082
1278;;;;;;;;;;1601;;;;;;;;;;2345;2733;3135;4082
1278;;;;;;;;;;1593;;;;;;;;;;2330;2729;3135;4082
1286;;;;;;;;;;1592;;;;;;;;;;2339;2733;3135;4082
1278;;;;;;;;;;1610;;;;;;;;;;2335;2729;3135;4063
1286;;;;;;;;;;1607;;;;;;;;;;2343;2733;3135;4082
1278;;;;;;;;;;1599;;;;;;;;;;2358;2733;3116;4074
1280;;;;;;;;;;1597;;;;;;;;;;2336;2733;3116;4082
1278;;;;;;;;;;1599;;;;;;;;;;2324;2729;3101;4082
1286;;;;;;;;;;1603;;;;;;;;;;2344;2733;3117;4073
1278;;;;;;;;;;1605;;;;;;;;;;2322;2733;3135;4051
1278;;;;;;;;;;1606;;;;;;;;;;2345;2733;3135;4029
1278;;;;;;;;;;1605;;;;;;;;;;2343;2733;3135;4048
1278;;;;;;;;;;1597;;;;;;;;;;2343;2729;3130;4077
1286;;;;;;;;;;1598;;;;;;;;;;2350;2729;3124;4026
1286;;;;;;;;;;1594;;;;;;;;;;2340;2729;3125;4039
1278;;;;;;;;;;1598;;;;;;;;;;2351;2729;3135;4082
1278;;;;;;;;;;1603;;;;;;;;;;2338;2729;3135;4081
1278;;;;;;;;;;1603;;;;;;;;;;2327;2731;3135;4056
1279;;;;;;;;;;1614;;;;;;;;;;2336;2729;3104;4060
1286;;;;;;;;;;1597;;;;;;;;;;2344;2733;3135;4042
1280;;;;;;;;;;1600;;;;;;;;;;2346;2733;3135;4081
1278;;;;;;;;;;1611;;;;;;;;;;2352;2733;3135;4081
1278;;;;;;;;;;1602;;;;;;;;;;2336;2729;3134;4042
1278;;;;;;;;;;1604;;;;;;;;;;2345;2724;3135;4069
1278;;;;;;;;;;1604;;;;;;;;;;2352;2729;3135;4042
1278;;;;;;;;;;1592;;;;;;;;;;2343;2729;3131;4047
1286;;;;;;;;;;1596;;;;;;;;;;2345;2729;3107;4049
1278;;;;;;;;;;1596;;;;;;;;;;2342;2729;3135;4074
1278;;;;;;;;;;1604;;;;;;;;;;2326;2729;3135;4082
1278;;;;;;;;;;1604;;;;;;;;;;2326;2724;3135;4082
1278;;;;;;;;;;1592;;;;;;;;;;2326;2729;3133;4082
1278;;;;;;;;;;1599;;;;;;;;;;2343;2729;3133;4053
1281;;;;;;;;;;1597;;;;;;;;;;2343;2731;3135;4082
1280;;;;;;;;;;1597;;;;;;;;;;2364;2729;3135;4057
1281;;;;;;;;;;1609;;;;;;;;;;2328;2731;3135;4061
1286;;;;;;;;;;1611;;;;;;;;;;2365;2724;3135;4049
1278;;;;;;;;;;1594;;;;;;;;;;2337;2733;3135;4041
1278;;;;;;;;;;1596;;;;;;;;;;2350;2729;3135;4082
1286;;;;;;;;;;1618;;;;;;;;;;2352;2729;3116;4070
1286;;;;;;;;;;1609;;;;;;;;;;2334;2731;3135;4048
1278;;;;;;;;;;1592;;;;;;;;;;2351;2733;3132;4040
1278;;;;;;;;;;1593;;;;;;;;;;2343;2733;3132;4082
1279;;;;;;;;;;1609;;;;;;;;;;2352;2729;3135;4082
1278;;;;;;;;;;1610;;;;;;;;;;2327;2731;3135;4082
1278;;;;;;;;;;1582;;;;;;;;;;2327;2724;3135;4043
1278;;;;;;;;;;1608;;;;;;;;;;2339;2731;3126;4041
1286;;;;;;;;;;1586;;;;;;;;;;2338;2729;3122;4066
