tai01;tai02;tai03;tai04;tai05;tai06;tai07;tai08;tai09;tai10;tai11;tai12;tai13;tai14;tai15;tai16;tai17;tai18;tai19;tai20;tai21;tai22;tai23;tai24;tai25;tai26;tai27;tai28;tai29;tai30;tai31;tai32;tai33;tai34;tai35;tai36;tai37;tai38;tai39;tai40;tai41;tai42;tai43;tai44;tai45;tai46;tai47;tai48;tai49;tai50;tai51;tai52;tai53;tai54;tai55;tai56;tai57;tai58;tai59;tai60;tai61;tai62;tai63;tai64;tai65;tai66;tai67;tai68;tai69;tai70;tai71;tai72;tai73;tai74;tai75;tai76;tai77;tai78;tai79;tai80;tai81;tai82;tai83;tai84;tai85;tai86;tai87;tai88;tai89;tai90;tai91;tai92;tai93;tai94;tai95;tai96;tai97;tai98;tai99;tai100;tai101;tai102;tai103;tai104;tai105;tai106;tai107;tai108;tai109;tai110;tai111;tai112;tai113;tai114;tai115;tai116;tai117;tai118;tai119;tai120
1286;1359;1126;1325;1305;1224;1251;1223;1255;1151;1604;1699;1519;1406;1466;1442;1531;1576;1609;1620;2343;2119;2348;2248;2348;2257;2305;2234;2290;2232;2729;2838;2630;2771;2864;2834;2745;2686;2574;2789;3117;2997;2948;3080;3102;3169;3277;3089;2995;3204;3984;3881;3848;3931;3735;3831;3900;3872;3882;3951;5519;5284;5213;5023;5266;5139;5255;5103;5465;5341;5846;5400;5733;5850;5537;5326;5678;5709;6012;5903;6490;6491;6535;6492;6586;6598;6586;6692;6571;6641;10942;10641;11025;10939;10599;10435;10918;10828;10538;10781;11524;11623;11674;11731;11635;11513;11739;11848;11544;11817;26577;27188;26816;26994;26668;26909;26760;27052;26592;26917
1286;1359;1126;1325;1305;1224;1251;1223;1255;1151;1604;1699;1519;1406;1466;1442;1531;1576;1609;1620;2343;2119;2348;2248;2348;2257;2305;2234;2290;2232;2729;2838;2630;2771;2864;2834;2745;2686;2574;2789;3117;2997;2948;3080;3102;3169;3277;3089;2995;3204;3984;3881;3848;3931;3735;3831;3900;3872;3882;3951;5519;5284;5213;5023;5266;5139;5255;5103;5465;5341;5846;5400;5733;5850;5537;5326;5678;5709;6012;5903;6490;6491;6535;6492;6586;6598;6586;6692;6571;6641;10942;10641;11025;10939;10599;10435;10918;10828;10538;10781;11524;11623;11674;11731;11635;11513;11739;11848;11544;11817;26577;27188;26816;26994;26668;26909;26760;27052;26592;26917
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11635;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11635;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1604;;;;;;;;;;2343;;;;;;;;;;2729;;;;;;;;;;3117;;;;;;;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
