tai01;tai02;tai03;tai04;tai05;tai06;tai07;tai08;tai09;tai10;tai11;tai12;tai13;tai14;tai15;tai16;tai17;tai18;tai19;tai20;tai21;tai22;tai23;tai24;tai25;tai26;tai27;tai28;tai29;tai30;tai31;tai32;tai33;tai34;tai35;tai36;tai37;tai38;tai39;tai40;tai41;tai42;tai43;tai44;tai45;tai46;tai47;tai48;tai49;tai50;tai51;tai52;tai53;tai54;tai55;tai56;tai57;tai58;tai59;tai60;tai61;tai62;tai63;tai64;tai65;tai66;tai67;tai68;tai69;tai70;tai71;tai72;tai73;tai74;tai75;tai76;tai77;tai78;tai79;tai80;tai81;tai82;tai83;tai84;tai85;tai86;tai87;tai88;tai89;tai90;tai91;tai92;tai93;tai94;tai95;tai96;tai97;tai98;tai99;tai100;tai101;tai102;tai103;tai104;tai105;tai106;tai107;tai108;tai109;tai110
1286;1365;1098;1325;1277;1224;1251;1223;1252;1151;1616;1722;1530;1407;1479;1426;1526;1572;1617;1620;2333;2149;2375;2248;2324;2288;2309;2232;2306;2236;2729;2838;2621;2782;2864;2831;2736;2686;2561;2789;3096;2936;2961;3096;3044;3165;3182;3088;2995;3216;4003;3826;3797;3946;3759;3868;3886;3856;3872;3984;5500;5290;5213;5023;5255;5139;5252;5094;5489;5341;5846;5417;5731;5854;5532;5317;5677;5709;5979;5903;6431;6404;6528;6492;6598;6638;6567;6665;6602;6618;10942;10674;11025;10984;10617;10415;10972;10828;10529;10781;11561;11638;11798;11767;11643;11614;11785;11851;11658;11813
1286;1365;1098;1325;1277;1224;1251;1223;1252;1151;1616;1722;1530;1407;1479;1426;1526;1572;1617;1620;2333;2149;2375;2248;2324;2288;2309;2232;2306;2236;2729;2838;2621;2782;2864;2831;2736;2686;2561;2789;3096;2936;2961;3096;3044;3165;3182;3088;2995;3216;4003;3826;3797;3946;3759;3868;3886;3856;3872;3984;5500;5290;5213;5023;5255;5139;5252;5094;5489;5341;5846;5417;5731;5854;5532;5317;5677;5709;5979;5903;6431;6404;6528;6492;6598;6638;6567;6665;6602;6618;10942;10674;11025;10984;10617;10415;10972;10828;10529;10781;11561;11638;11798;11767;11643;11587;11785;11851;11658;11813
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;;;;;;;;;;1616;;;;;;;;;;2333;;;;;;;;;;2729;;;;;;;;;;3096;;;;;;;;;;4003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
