instances/tai01.txt;instances/tai02.txt;instances/tai03.txt;instances/tai04.txt;instances/tai05.txt;instances/tai06.txt;instances/tai07.txt;instances/tai08.txt;instances/tai09.txt;instances/tai10.txt;instances/tai11.txt;instances/tai12.txt;instances/tai13.txt;instances/tai14.txt;instances/tai15.txt;instances/tai16.txt;instances/tai17.txt;instances/tai18.txt;instances/tai19.txt;instances/tai20.txt;instances/tai21.txt;instances/tai22.txt;instances/tai23.txt;instances/tai24.txt;instances/tai25.txt;instances/tai26.txt;instances/tai27.txt;instances/tai28.txt;instances/tai29.txt;instances/tai30.txt;instances/tai31.txt;instances/tai32.txt;instances/tai33.txt;instances/tai34.txt;instances/tai35.txt;instances/tai36.txt;instances/tai37.txt;instances/tai38.txt;instances/tai39.txt;instances/tai40.txt;instances/tai41.txt;instances/tai42.txt;instances/tai43.txt;instances/tai44.txt;instances/tai45.txt;instances/tai46.txt;instances/tai47.txt;instances/tai48.txt;instances/tai49.txt;instances/tai50.txt;instances/tai51.txt;instances/tai52.txt;instances/tai53.txt;instances/tai54.txt;instances/tai55.txt;instances/tai56.txt;instances/tai57.txt;instances/tai58.txt;instances/tai59.txt;instances/tai60.txt
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1659;1506;1378;1419;1397;1484;1548;1593;1591;2306;2099;2336;2230;2291;2234;2282;2211;2237;2190;2724;2843;2621;2753;2864;2829;2732;2690;2561;2782;3079;2958;2962;3115;3081;3088;3160;3088;2987;3152;3960;3858;3824;3888;3763;3838;3862;3854;3912;3915
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1660;1506;1379;1419;1397;1484;1538;1593;1591;2305;2109;2337;2233;2306;2232;2281;2204;2242;2181;2724;2843;2621;2762;2864;2832;2732;2694;2561;2782;3081;2975;2933;3094;3067;3091;3152;3076;2960;3134;3982;3864;3813;3884;3763;3830;3876;3897;3913;3905
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1664;1509;1378;1422;1397;1484;1546;1593;1591;2306;2105;2330;2232;2303;2230;2281;2210;2242;2190;2724;2843;2621;2753;2863;2832;2732;2694;2561;2782;3085;2960;2946;3108;3064;3066;3174;3102;2973;3159;3990;3844;3820;3851;3714;3825;3866;3866;3899;3902
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1664;1500;1379;1423;1397;1484;1548;1596;1604;2307;2105;2335;2235;2301;2230;2283;2213;2243;2189;2724;2843;2622;2762;2864;2832;2732;2683;2561;2782;3068;2971;2929;3114;3063;3077;3173;3091;2976;3140;3992;3830;3814;3850;3796;3852;3855;3875;3904;3899
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1670;1500;1378;1422;1397;1486;1544;1594;1594;2306;;;;;;;;;;2724;;;;;;;;;;3078;;;;;;;;;;4000;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1582;1659;1496;1380;1419;1400;1486;1544;1595;1591;2311;;;;;;;;;;2724;;;;;;;;;;3068;;;;;;;;;;4002;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1582;1659;1504;1378;1422;1398;1484;1544;1594;1591;2308;;;;;;;;;;2724;;;;;;;;;;3085;;;;;;;;;;3973;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1660;1496;1378;1419;1397;1484;1548;1593;1599;2297;;;;;;;;;;2724;;;;;;;;;;3088;;;;;;;;;;3989;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1660;1508;1378;1422;1401;1484;1544;1594;1598;2302;;;;;;;;;;2724;;;;;;;;;;3071;;;;;;;;;;4003;;;;;;;;;
1278;1359;1081;1293;1235;1195;1239;1206;1230;1108;1583;1664;1496;1379;1422;1398;1484;1544;1595;1598;2306;;;;;;;;;;2724;;;;;;;;;;3081;;;;;;;;;;4003;;;;;;;;;
